City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Aracaju,BR,82.85,scattered clouds,-10.9111,-37.0717,HOTEL FÊNIX
496,Bengkulu,ID,76.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
498,Bonthe,SL,82.51,light rain,7.5264,-12.505,Bonthe Holiday Village
505,Houma,US,89.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
506,Mufulira,ZM,80.28,clear sky,-12.5498,28.2407,Kamiria lodge
508,Patiya,BD,75.9,overcast clouds,22.2931,91.9762,R Village
510,Pochutla,MX,81.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
518,Lixourion,GR,77.07,broken clouds,38.2019,20.4314,Hotel Summery
526,Alibag,IN,79.3,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
527,Yabucoa,PR,88.72,few clouds,18.0505,-65.8793,Parador Palmas De Lucia
529,Touros,BR,85.98,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
530,Dhidhdhoo,MV,82.83,scattered clouds,6.8833,73.1,Dhidhoo beach
531,Kavali,IN,88.14,overcast clouds,14.9167,79.9833,Hotel Mourya Paradise
532,Port Blair,IN,80.06,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
535,Beldanga,IN,75.34,overcast clouds,23.9333,88.25,"Saha Computer, CSC Centre"
537,Sarh,TD,82.44,broken clouds,9.1429,18.3923,Domicile 1sur le goudron
539,Port Hedland,AU,81.7,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
540,Minatitlan,MX,86.18,broken clouds,17.9833,-94.5167,Grand Regency Express
542,Oistins,BB,84.87,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
544,Cotonou,BJ,81.37,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
557,Cuamba,MZ,83.68,clear sky,-14.8031,36.5372,Hotel Vision
560,Kununurra,AU,82.96,overcast clouds,-15.7667,128.7333,Hotel Kununurra
566,Tual,ID,80.22,light rain,-5.6667,132.75,Grand Vilia Hotel
569,Dublin,US,77.88,clear sky,37.7021,-121.9358,Pleasanton Marriott
572,Bayonet Point,US,89.42,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
573,San Policarpo,PH,82.11,broken clouds,12.1791,125.5072,Manong Aklan Resort
574,Roebourne,AU,82.65,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
584,Praia Da Vitoria,PT,76.75,few clouds,38.7333,-27.0667,Hotel Branco I
590,Katihar,IN,77.31,scattered clouds,25.5333,87.5833,Hotel Deluxe
596,Karratha,AU,82.22,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
605,Darnah,LY,81.07,clear sky,32.767,22.6367,فندق الفردوس
609,Mitsamiouli,KM,77.31,few clouds,-11.3847,43.2844,Foyer ADM
611,Srivardhan,IN,78.73,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
613,Fairview,US,75.54,overcast clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
614,Kirakira,SB,77.92,scattered clouds,-10.4544,161.9205,SanBiz Lodge
617,Lazaro Cardenas,MX,81.7,overcast clouds,17.9583,-102.2,quinta antigua
628,Kuryk,KZ,77.81,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
629,Kloulklubed,PW,82.85,light rain,7.0419,134.2556,Storyboard Beach Resort
630,Ca Mau,VN,77.34,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
631,Kemang,ID,75.63,few clouds,-3.3487,104.3447,Sidiq home stay
632,Cabcab,PH,81.43,overcast clouds,13.6268,124.0515,Mayon View Private Resort (for sale)
633,Kresek,ID,79.88,broken clouds,-6.1314,106.3797,Kamar aldi
635,Gushikawa,JP,79.92,clear sky,26.3544,127.8686,Kirari Guest House
638,Samarai,PG,78.01,moderate rain,-10.6167,150.6667,Nuli Sapi
639,Pocinhos,BR,89.83,clear sky,-7.0767,-36.0611,Kemelly
642,Turayf,SA,86.25,clear sky,31.6725,38.6637,Turaif
644,Balkanabat,TM,78.85,clear sky,39.5108,54.3671,Nebitchi Hotel
645,Ende,ID,77.05,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
650,Vanimo,PG,78.26,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
653,Bushehr,IR,89.85,clear sky,28.9684,50.8385,Yas Hotel
654,Lata,PT,82.08,clear sky,40.1629,-8.3327,Casa Maquia
655,Dawei,MM,75.45,moderate rain,14.0833,98.2,Hotel Dawei
662,Ahuimanu,US,76.86,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
665,Saint Augustine,US,87.06,overcast clouds,29.8947,-81.3145,St. George Inn
666,Vaitape,PF,78.08,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
668,Sayville,US,76.96,overcast clouds,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
672,Redwood City,US,79.14,clear sky,37.4852,-122.2364,Good Nite Inn Redwood City San Francisco
675,Honiara,SB,75.85,broken clouds,-9.4333,159.95,Heritage Park Hotel
676,Najibabad,IN,82.22,overcast clouds,29.6333,78.3333,OYO 48552 Hotel Chandrayan
677,Pacific Grove,US,78.62,clear sky,36.6177,-121.9166,Lovers Point Inn
678,Mastic Beach,US,76.32,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
679,Angoche,MZ,75.9,clear sky,-16.2325,39.9086,Guest House HESADA
680,Tarakan,ID,76.19,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
683,Forio,IT,75.81,clear sky,40.7342,13.8646,Hotel Terme Providence
684,Siavonga,ZM,83.26,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
685,Nishihara,JP,79.09,clear sky,26.1842,127.7558,Minshuku Agaihama
688,Kisangani,CD,75.42,overcast clouds,0.5167,25.2,Grand Ramela Hotel
698,Namatanai,PG,77.92,light rain,-3.6667,152.4333,Seagulls Inn Namatani
