City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Phan Thiet,VN,10.9333,108.1,77.95,87,70,6.4,broken clouds
291,Sibolga,ID,1.7427,98.7792,76.35,86,19,2.82,few clouds
292,Nago,JP,26.5881,127.9761,79.81,82,0,4.59,clear sky
293,Ihosy,MG,-22.4,46.1167,69.13,67,65,8.16,broken clouds
294,Totma,RU,59.9747,42.7642,41.16,75,100,7.27,overcast clouds
295,Itacare,BR,-14.2775,-38.9967,80.08,69,74,9.66,broken clouds
296,Manokwari,ID,-0.8667,134.0833,77.13,81,65,4.45,broken clouds
297,Klaksvik,FO,62.2266,-6.589,54.68,92,100,40.26,overcast clouds
298,Kungurtug,RU,50.5994,97.5228,35.01,75,14,1.74,few clouds
299,Kargasok,RU,59.0556,80.8572,31.37,98,80,8.3,broken clouds
300,Ayapel,CO,8.3137,-75.1398,86.63,68,63,3.98,broken clouds
301,Garissa,KE,-0.4536,39.6401,86.09,41,72,20.94,broken clouds
302,Contamana,PE,-7.3333,-75.0167,87.42,55,89,1.63,overcast clouds
303,Beyneu,KZ,45.3167,55.2,70.39,25,98,19.22,overcast clouds
304,Grand Gaube,MU,-20.0064,57.6608,70.38,65,9,7.0,clear sky
305,Batagay-Alyta,RU,67.8006,130.4114,30.76,88,100,2.93,overcast clouds
306,Eureka,US,40.8021,-124.1637,67.62,44,0,2.71,clear sky
307,Atbasar,KZ,51.8,68.3333,37.81,61,26,2.62,scattered clouds
308,Neuquen,AR,-38.9516,-68.0591,65.88,26,0,21.74,clear sky
309,Hay River,CA,60.8156,-115.7999,47.26,84,100,10.22,overcast clouds
310,Coquimbo,CL,-29.9533,-71.3436,57.67,69,86,7.11,overcast clouds
311,Sabang,ID,5.8933,95.3214,82.49,78,100,20.62,light rain
312,Tessalit,ML,20.1986,1.0114,105.46,5,1,6.71,clear sky
313,Radcliff,US,37.8404,-85.9491,72.75,87,77,1.01,broken clouds
314,Kenai,US,60.5544,-151.2583,42.15,48,1,13.98,clear sky
315,Talara,PE,-4.5772,-81.2719,71.44,70,20,18.03,few clouds
316,Lvov,UA,49.8383,24.0232,47.55,65,100,10.69,overcast clouds
317,Hamilton,US,39.1834,-84.5333,71.26,95,98,3.0,overcast clouds
318,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.13,51,2,11.14,clear sky
319,Da Nang,VN,16.0678,108.2208,79.02,86,100,4.16,overcast clouds
320,Grindavik,IS,63.8424,-22.4338,43.68,78,100,39.19,overcast clouds
321,Cherskiy,RU,68.75,161.3,25.79,74,82,3.53,broken clouds
322,Sorland,NO,67.667,12.6934,49.69,86,100,40.22,overcast clouds
323,Lincoln,US,40.8,-96.667,64.29,63,41,4.0,scattered clouds
324,Tono,JP,39.3167,141.5333,58.41,99,32,2.75,scattered clouds
325,The Colony,US,33.089,-96.8864,80.02,57,63,11.99,broken clouds
326,Machhlishahr,IN,25.6833,82.4167,82.51,76,77,6.4,broken clouds
327,Fort Nelson,CA,58.8053,-122.7002,48.22,67,54,1.25,broken clouds
328,Aleksandrovskiy Zavod,RU,50.9237,117.9374,45.72,84,16,1.74,few clouds
329,Prince Rupert,CA,54.3161,-130.3201,53.6,93,100,7.54,light rain
330,Damavand,IR,35.7178,52.065,66.78,27,0,1.66,clear sky
331,Mizusawa,JP,39.1333,141.1333,62.8,96,72,3.51,broken clouds
332,Buala,SB,-8.145,159.5921,79.07,84,72,5.53,light rain
333,Pryluky,UA,50.5932,32.3876,42.26,91,100,10.89,overcast clouds
334,Praia,CV,14.9215,-23.5087,82.63,71,35,13.15,scattered clouds
335,Deming,US,32.2687,-107.7586,75.24,24,0,21.12,clear sky
336,Yagodnoye,RU,62.55,149.6667,20.26,97,81,3.24,broken clouds
337,Berbera,SO,10.4396,45.0143,89.55,66,3,0.65,clear sky
338,Nizhniy Odes,RU,63.6445,54.856,41.63,69,100,7.49,overcast clouds
339,Governador Valadares,BR,-18.8511,-41.9494,98.8,29,0,1.72,clear sky
340,Manono,CD,-7.3,27.4167,91.6,18,13,2.44,few clouds
341,Staryy Nadym,RU,65.6118,72.6842,35.89,85,100,12.71,overcast clouds
342,Belaya Gora,RU,68.5333,146.4167,30.4,61,100,2.89,overcast clouds
343,Bathsheba,BB,13.2167,-59.5167,86.09,63,34,13.51,scattered clouds
